Date,Capacity Utilization
1970-12-01,77.3376
1971-01-01,77.7733
1971-02-01,77.612
1971-03-01,77.2533
1971-04-01,77.4617
1971-05-01,77.7858
1971-06-01,77.7843
1971-07-01,77.7198
1971-08-01,76.6063
1971-09-01,77.9607
1971-10-01,78.9213
1971-11-01,79.015
1971-12-01,79.5499
1972-01-01,81.3641
1972-02-01,81.8427
1972-03-01,82.1985
1972-04-01,82.8812
1972-05-01,82.8124
1972-06-01,82.8759
1972-07-01,82.6379
1972-08-01,83.5
1972-09-01,83.9419
1972-10-01,84.8748
1972-11-01,85.6845
1972-12-01,86.5679
1973-01-01,86.9569
1973-02-01,88.0723
1973-03-01,87.9616
1973-04-01,87.5448
1973-05-01,87.7948
1973-06-01,87.5181
1973-07-01,87.5785
1973-08-01,87.0654
1973-09-01,87.4476
1973-10-01,87.9726
1973-11-01,88.3065
1973-12-01,88.0708
1974-01-01,87.0738
1974-02-01,86.474
1974-03-01,86.1348
1974-04-01,85.5516
1974-05-01,85.9119
1974-06-01,85.6997
1974-07-01,85.4503
1974-08-01,84.4809
1974-09-01,84.305
1974-10-01,83.5068
1974-11-01,80.8715
1974-12-01,77.0623
1975-01-01,75.3621
1975-02-01,73.1397
1975-03-01,72.0329
1975-04-01,71.905
1975-05-01,71.6918
1975-06-01,72.1801
1975-07-01,73.0588
1975-08-01,73.6876
1975-09-01,74.7918
1975-10-01,75.035
1975-11-01,74.995
1975-12-01,75.9425
1976-01-01,76.6969
1976-02-01,77.6411
1976-03-01,77.7126
1976-04-01,77.9947
1976-05-01,78.2011
1976-06-01,78.0949
1976-07-01,78.4834
1976-08-01,78.7956
1976-09-01,78.7813
1976-10-01,78.5361
1976-11-01,79.3861
1976-12-01,80.0024
1977-01-01,79.5162
1977-02-01,80.7876
1977-03-01,81.7338
1977-04-01,82.4131
1977-05-01,82.8425
1977-06-01,83.3256
1977-07-01,83.0878
1977-08-01,83.3142
1977-09-01,83.1431
1977-10-01,83.052
1977-11-01,83.0207
1977-12-01,83.6435
1978-01-01,82.1696
1978-02-01,82.2571
1978-03-01,83.4842
1978-04-01,84.5006
1978-05-01,84.6533
1978-06-01,84.9926
1978-07-01,84.6397
1978-08-01,84.8058
1978-09-01,84.9454
1978-10-01,85.2589
1978-11-01,85.7883
1978-12-01,86.1538
1979-01-01,85.2667
1979-02-01,85.2888
1979-03-01,85.4557
1979-04-01,83.8073
1979-05-01,84.6869
1979-06-01,84.5523
1979-07-01,84.387
1979-08-01,83.1298
1979-09-01,83.0261
1979-10-01,83.2278
1979-11-01,82.7782
1979-12-01,82.8183
1980-01-01,83.0159
1980-02-01,82.7584
1980-03-01,81.8788
1980-04-01,80.0556
1980-05-01,77.4906
1980-06-01,76.0941
1980-07-01,75.135
1980-08-01,75.4838
1980-09-01,76.568
1980-10-01,77.7136
1980-11-01,78.8528
1980-12-01,78.9765
1981-01-01,78.4224
1981-02-01,77.7824
1981-03-01,77.7973
1981-04-01,77.9851
1981-05-01,78.1459
1981-06-01,77.5704
1981-07-01,77.512
1981-08-01,77.2998
1981-09-01,76.8173
1981-10-01,75.8904
1981-11-01,74.757
1981-12-01,73.3678
1982-01-01,71.413
1982-02-01,73.2792
1982-03-01,72.5891
1982-04-01,71.8847
1982-05-01,71.5995
1982-06-01,71.4111
1982-07-01,71.2073
1982-08-01,70.4797
1982-09-01,70.2386
1982-10-01,69.3128
1982-11-01,68.8787
1982-12-01,68.5876
1983-01-01,70.14
1983-02-01,70.0691
1983-03-01,70.6735
1983-04-01,71.4938
1983-05-01,72.3145
1983-06-01,72.8361
1983-07-01,73.8327
1983-08-01,74.4532
1983-09-01,75.7844
1983-10-01,76.5092
1983-11-01,76.8239
1983-12-01,76.9253
1984-01-01,78.2269
1984-02-01,78.9765
1984-03-01,79.2115
1984-04-01,79.467
1984-05-01,79.5409
1984-06-01,79.7376
1984-07-01,79.8631
1984-08-01,79.8365
1984-09-01,79.3583
1984-10-01,79.5626
1984-11-01,79.5402
1984-12-01,79.5165
1985-01-01,79.0896
1985-02-01,78.5661
1985-03-01,78.9421
1985-04-01,78.4614
1985-05-01,78.3666
1985-06-01,78.1835
1985-07-01,77.668
1985-08-01,77.8769
1985-09-01,77.78
1985-10-01,77.4505
1985-11-01,77.8557
1985-12-01,78.0239
1986-01-01,78.8498
1986-02-01,78.331
1986-03-01,77.9801
1986-04-01,78.2846
1986-05-01,78.3261
1986-06-01,77.9265
1986-07-01,78.2546
1986-08-01,78.3752
1986-09-01,78.5019
1986-10-01,78.6551
1986-11-01,78.7777
1986-12-01,79.401
1987-01-01,78.9375
1987-02-01,79.9213
1987-03-01,79.764
1987-04-01,80.0213
1987-05-01,80.3661
1987-06-01,80.4849
1987-07-01,80.9127
1987-08-01,81.1531
1987-09-01,81.5198
1987-10-01,82.5757
1987-11-01,82.8829
1987-12-01,83.3249
1988-01-01,83.0578
1988-02-01,83.2491
1988-03-01,83.3961
1988-04-01,84.0972
1988-05-01,83.8695
1988-06-01,83.99
1988-07-01,83.9057
1988-08-01,84.0101
1988-09-01,84.2405
1988-10-01,84.5317
1988-11-01,84.7627
1988-12-01,85.0483
1989-01-01,85.6167
1989-02-01,84.6582
1989-03-01,84.4402
1989-04-01,84.3978
1989-05-01,83.5745
1989-06-01,83.4819
1989-07-01,82.2801
1989-08-01,82.8376
1989-09-01,82.4414
1989-10-01,82.0136
1989-11-01,81.9703
1989-12-01,81.7949
1990-01-01,81.5095
1990-02-01,82.4029
1990-03-01,82.616
1990-04-01,82.1268
1990-05-01,82.1518
1990-06-01,82.2298
1990-07-01,81.8691
1990-08-01,82.0134
1990-09-01,81.7499
1990-10-01,81.0682
1990-11-01,79.9897
1990-12-01,79.2669
1991-01-01,78.6333
1991-02-01,77.9935
1991-03-01,77.3269
1991-04-01,77.5951
1991-05-01,78.0206
1991-06-01,78.6553
1991-07-01,78.9684
1991-08-01,78.9767
1991-09-01,79.7017
1991-10-01,79.4871
1991-11-01,79.2118
1991-12-01,78.8932
1992-01-01,78.2847
1992-02-01,78.8083
1992-03-01,79.4206
1992-04-01,79.6663
1992-05-01,79.9329
1992-06-01,79.9867
1992-07-01,80.5113
1992-08-01,79.9164
1992-09-01,79.818
1992-10-01,80.1177
1992-11-01,80.2354
1992-12-01,80.0163
1993-01-01,80.6189
1993-02-01,80.6883
1993-03-01,80.4064
1993-04-01,80.6665
1993-05-01,80.4342
1993-06-01,80.2099
1993-07-01,80.2571
1993-08-01,79.9467
1993-09-01,80.3429
1993-10-01,80.8785
1993-11-01,81.1104
1993-12-01,81.3922
1994-01-01,81.2906
1994-02-01,81.2203
1994-03-01,82.0544
1994-04-01,82.5441
1994-05-01,82.7793
1994-06-01,82.7479
1994-07-01,82.7742
1994-08-01,83.2093
1994-09-01,83.2659
1994-10-01,83.7331
1994-11-01,84.0956
1994-12-01,84.6805
1995-01-01,84.5039
1995-02-01,83.9532
1995-03-01,83.8571
1995-04-01,83.281
1995-05-01,83.225
1995-06-01,83.2567
1995-07-01,82.3128
1995-08-01,82.8894
1995-09-01,83.2762
1995-10-01,82.7691
1995-11-01,82.4149
1995-12-01,82.2908
1996-01-01,81.315
1996-02-01,82.0618
1996-03-01,81.4431
1996-04-01,82.0272
1996-05-01,82.1962
1996-06-01,82.5193
1996-07-01,82.4308
1996-08-01,82.3489
1996-09-01,82.5763
1996-10-01,82.0291
1996-11-01,82.3045
1996-12-01,82.5531
1997-01-01,82.208
1997-02-01,82.8889
1997-03-01,83.1919
1997-04-01,82.6376
1997-05-01,82.716
1997-06-01,82.7247
1997-07-01,82.7981
1997-08-01,83.2737
1997-09-01,83.4942
1997-10-01,83.6385
1997-11-01,83.8297
1997-12-01,83.6787
1998-01-01,83.6916
1998-02-01,83.2048
1998-03-01,82.4518
1998-04-01,82.2608
1998-05-01,82.0994
1998-06-01,80.9349
1998-07-01,80.0857
1998-08-01,81.5458
1998-09-01,80.9624
1998-10-01,81.2606
1998-11-01,80.9233
1998-12-01,80.9767
1999-01-01,80.7858
1999-02-01,81.0867
1999-03-01,80.6837
1999-04-01,80.589
1999-05-01,80.8829
1999-06-01,80.335
1999-07-01,80.3382
1999-08-01,80.4948
1999-09-01,79.8077
1999-10-01,80.6648
1999-11-01,80.8823
1999-12-01,81.0962
2000-01-01,80.7915
2000-02-01,80.6848
2000-03-01,80.8565
