Date,Recession,CPI,Unemployment Rate,Market Yield,Industrial Production Rate,Treasury Bill Rate,Capacity Utilization
1971-01-01,0.0,39.9,5.9,6.24,37.7008,4.44,77.7733
1971-02-01,0.0,39.9,5.9,6.11,37.629,3.7,77.612
1971-03-01,0.0,40.0,6.0,5.7,37.5883,3.38,77.2533
1971-04-01,0.0,40.1,5.9,5.83,37.7993,3.86,77.4617
1971-05-01,0.0,40.3,5.9,6.39,37.9911,4.14,77.7858
1971-06-01,0.0,40.5,5.9,6.52,38.1505,4.75,77.7843
1971-07-01,0.0,40.6,6.0,6.73,38.0397,5.4,77.7198
1971-08-01,0.0,40.7,6.1,6.58,37.819,4.94,76.6063
1971-09-01,0.0,40.8,6.0,6.14,38.4336,4.69,77.9607
1971-10-01,0.0,40.9,5.8,5.93,38.7213,4.46,78.9213
1971-11-01,0.0,41.0,6.0,5.81,38.8856,4.22,79.015
1971-12-01,0.0,41.1,6.0,5.93,39.3345,4.01,79.5499
1972-01-01,0.0,41.2,5.8,5.95,40.2751,3.38,81.3641
1972-02-01,0.0,41.4,5.7,6.08,40.6932,3.2,81.8427
1972-03-01,0.0,41.4,5.8,6.07,40.9766,3.73,82.1985
1972-04-01,0.0,41.5,5.7,6.19,41.3843,3.71,82.8812
1972-05-01,0.0,41.6,5.7,6.13,41.39,3.69,82.8124
1972-06-01,0.0,41.7,5.7,6.11,41.4898,3.91,82.8759
1972-07-01,0.0,41.8,5.6,6.11,41.4485,3.98,82.6379
1972-08-01,0.0,41.9,5.6,6.21,42.0158,4.02,83.5
1972-09-01,0.0,42.1,5.5,6.55,42.3429,4.66,83.9419
1972-10-01,0.0,42.2,5.6,6.48,42.8745,4.74,84.8748
1972-11-01,0.0,42.4,5.3,6.28,43.3834,4.78,85.6845
1972-12-01,0.0,42.5,5.2,6.36,43.8725,5.07,86.5679
1973-01-01,0.0,42.7,4.9,6.46,44.1952,5.41,86.9569
1973-02-01,0.0,43.0,5.0,6.64,44.8299,5.6,88.0723
1973-03-01,0.0,43.4,4.9,6.71,44.8444,6.09,87.9616
1973-04-01,0.0,43.7,5.0,6.67,44.7876,6.26,87.5448
1973-05-01,0.0,43.9,4.9,6.85,45.0922,6.36,87.7948
1973-06-01,0.0,44.2,4.9,6.9,45.1372,7.19,87.5181
1973-07-01,0.0,44.2,4.8,7.13,45.3163,8.01,87.5785
1973-08-01,0.0,45.0,4.8,7.4,45.2482,8.67,87.0654
1973-09-01,0.0,45.2,4.8,7.09,45.6148,8.29,87.4476
1973-10-01,0.0,45.6,4.6,6.79,45.9627,7.22,87.9726
1973-11-01,0.0,45.9,4.8,6.73,46.1781,7.83,88.3065
1973-12-01,1.0,46.3,4.9,6.74,46.0553,7.45,88.0708
1974-01-01,1.0,46.8,5.1,6.99,45.7415,7.77,87.0738
1974-02-01,1.0,47.3,5.2,6.96,45.6029,7.12,86.474
1974-03-01,1.0,47.8,5.1,7.21,45.6093,7.96,86.1348
1974-04-01,1.0,48.1,5.1,7.51,45.4865,8.33,85.5516
1974-05-01,1.0,48.6,5.1,7.58,45.8299,8.23,85.9119
1974-06-01,1.0,49.0,5.4,7.54,45.7552,7.9,85.6997
1974-07-01,1.0,49.3,5.5,7.81,45.828,7.55,85.4503
1974-08-01,1.0,49.9,5.5,8.04,45.3423,8.96,84.4809
1974-09-01,1.0,50.6,5.9,8.04,45.3551,8.06,84.305
1974-10-01,1.0,51.0,6.0,7.9,45.2077,7.46,83.5068
1974-11-01,1.0,51.5,6.6,7.68,43.7312,7.47,80.8715
1974-12-01,1.0,51.9,7.2,7.43,42.1667,7.15,77.0623
1975-01-01,1.0,52.3,8.1,7.5,41.588,6.26,75.3621
1975-02-01,1.0,52.6,8.1,7.39,40.6296,5.5,73.1397
1975-03-01,1.0,52.8,8.6,7.73,40.1811,5.49,72.0329
1975-04-01,0.0,53.0,8.8,8.23,40.26,5.61,71.905
1975-05-01,0.0,53.1,9.0,8.06,40.1391,5.23,71.6918
1975-06-01,0.0,53.5,8.8,7.86,40.3939,5.34,72.1801
1975-07-01,0.0,54.0,8.6,8.06,40.791,6.13,73.0588
1975-08-01,0.0,54.2,8.4,8.4,41.2089,6.44,73.6876
1975-09-01,0.0,54.6,8.4,8.43,41.7455,6.42,74.7918
1975-10-01,0.0,54.9,8.4,8.14,41.9223,5.96,75.035
1975-11-01,0.0,55.3,8.3,8.05,41.9745,5.48,74.995
1975-12-01,0.0,55.6,8.2,8.0,42.5521,5.44,75.9425
1976-01-01,0.0,55.8,7.9,7.74,43.1271,4.87,76.6969
1976-02-01,0.0,55.9,7.7,7.79,43.5561,4.88,77.6411
1976-03-01,0.0,56.0,7.6,7.73,43.6464,5.0,77.7126
1976-04-01,0.0,56.1,7.7,7.56,43.8709,4.86,77.9947
1976-05-01,0.0,56.4,7.4,7.9,44.055,5.2,78.2011
1976-06-01,0.0,56.7,7.6,7.86,44.0988,5.41,78.0949
1976-07-01,0.0,57.0,7.8,7.83,44.3519,5.23,78.4834
1976-08-01,0.0,57.3,7.8,7.77,44.6538,5.14,78.7956
1976-09-01,0.0,57.6,7.6,7.59,44.7817,5.08,78.7813
1976-10-01,0.0,57.9,7.7,7.41,44.783,4.92,78.5361
1976-11-01,0.0,58.1,7.8,7.29,45.4764,4.75,79.3861
1976-12-01,0.0,58.4,7.8,6.87,45.9469,4.35,80.0024
1977-01-01,0.0,58.7,7.5,7.21,45.6487,4.62,79.5162
1977-02-01,0.0,59.3,7.6,7.39,46.3805,4.67,80.7876
1977-03-01,0.0,59.6,7.4,7.46,46.9566,4.6,81.7338
1977-04-01,0.0,60.0,7.2,7.37,47.4185,4.54,82.4131
1977-05-01,0.0,60.2,7.0,7.46,47.7834,4.96,82.8425
1977-06-01,0.0,60.5,7.2,7.28,48.1403,5.02,83.3256
1977-07-01,0.0,60.8,6.9,7.33,48.1927,5.19,83.0878
1977-08-01,0.0,61.1,7.0,7.4,48.2499,5.49,83.3142
1977-09-01,0.0,61.3,6.8,7.34,48.4515,5.81,83.1431
1977-10-01,0.0,61.6,6.8,7.52,48.5177,6.16,83.052
1977-11-01,0.0,62.0,6.8,7.58,48.6111,6.1,83.0207
1977-12-01,0.0,62.3,6.4,7.69,48.6743,6.07,83.6435
1978-01-01,0.0,62.7,6.4,7.96,47.9744,6.44,82.1696
1978-02-01,0.0,63.0,6.3,8.03,48.2322,6.45,82.2571
1978-03-01,0.0,63.4,6.3,8.04,49.1693,6.29,83.4842
1978-04-01,0.0,63.9,6.1,8.15,50.1546,6.29,84.5006
1978-05-01,0.0,64.5,6.0,8.35,50.3971,6.41,84.6533
1978-06-01,0.0,65.0,5.9,8.46,50.7005,6.73,84.9926
1978-07-01,0.0,65.5,6.2,8.64,50.6512,7.01,84.6397
1978-08-01,0.0,65.9,5.9,8.41,50.8676,7.08,84.8058
1978-09-01,0.0,66.5,6.0,8.42,51.0077,7.85,84.9454
1978-10-01,0.0,67.1,5.8,8.64,51.3902,7.99,85.2589
1978-11-01,0.0,67.5,5.9,8.81,51.781,8.64,85.7883
1978-12-01,0.0,67.9,6.0,9.01,52.0449,9.08,86.1538
1979-01-01,0.0,68.5,5.9,9.1,51.7484,9.35,85.2667
1979-02-01,0.0,69.2,5.9,9.1,52.0053,9.32,85.2888
1979-03-01,0.0,69.9,5.8,9.12,52.1613,9.48,85.4557
1979-04-01,0.0,70.6,5.8,9.18,51.5654,9.46,83.8073
1979-05-01,0.0,71.4,5.6,9.25,52.0022,9.61,84.6869
1979-06-01,0.0,72.2,5.7,8.91,52.008,9.06,84.5523
1979-07-01,0.0,73.0,5.7,8.95,51.9231,9.24,84.387
