Date,Industrial Production Rate
1970-12-01,37.4131
1971-01-01,37.7008
1971-02-01,37.629
1971-03-01,37.5883
1971-04-01,37.7993
1971-05-01,37.9911
1971-06-01,38.1505
1971-07-01,38.0397
1971-08-01,37.819
1971-09-01,38.4336
1971-10-01,38.7213
1971-11-01,38.8856
1971-12-01,39.3345
1972-01-01,40.2751
1972-02-01,40.6932
1972-03-01,40.9766
1972-04-01,41.3843
1972-05-01,41.39
1972-06-01,41.4898
1972-07-01,41.4485
1972-08-01,42.0158
1972-09-01,42.3429
1972-10-01,42.8745
1972-11-01,43.3834
1972-12-01,43.8725
1973-01-01,44.1952
1973-02-01,44.8299
1973-03-01,44.8444
1973-04-01,44.7876
1973-05-01,45.0922
1973-06-01,45.1372
1973-07-01,45.3163
1973-08-01,45.2482
1973-09-01,45.6148
1973-10-01,45.9627
1973-11-01,46.1781
1973-12-01,46.0553
1974-01-01,45.7415
1974-02-01,45.6029
1974-03-01,45.6093
1974-04-01,45.4865
1974-05-01,45.8299
1974-06-01,45.7552
1974-07-01,45.828
1974-08-01,45.3423
1974-09-01,45.3551
1974-10-01,45.2077
1974-11-01,43.7312
1974-12-01,42.1667
1975-01-01,41.588
1975-02-01,40.6296
1975-03-01,40.1811
1975-04-01,40.26
1975-05-01,40.1391
1975-06-01,40.3939
1975-07-01,40.791
1975-08-01,41.2089
1975-09-01,41.7455
1975-10-01,41.9223
1975-11-01,41.9745
1975-12-01,42.5521
1976-01-01,43.1271
1976-02-01,43.5561
1976-03-01,43.6464
1976-04-01,43.8709
1976-05-01,44.055
1976-06-01,44.0988
1976-07-01,44.3519
1976-08-01,44.6538
1976-09-01,44.7817
1976-10-01,44.783
1976-11-01,45.4764
1976-12-01,45.9469
1977-01-01,45.6487
1977-02-01,46.3805
1977-03-01,46.9566
1977-04-01,47.4185
1977-05-01,47.7834
1977-06-01,48.1403
1977-07-01,48.1927
1977-08-01,48.2499
1977-09-01,48.4515
1977-10-01,48.5177
1977-11-01,48.6111
1977-12-01,48.6743
1978-01-01,47.9744
1978-02-01,48.2322
1978-03-01,49.1693
1978-04-01,50.1546
1978-05-01,50.3971
1978-06-01,50.7005
1978-07-01,50.6512
1978-08-01,50.8676
1978-09-01,51.0077
1978-10-01,51.3902
1978-11-01,51.781
1978-12-01,52.0449
1979-01-01,51.7484
1979-02-01,52.0053
1979-03-01,52.1613
1979-04-01,51.5654
1979-05-01,52.0022
1979-06-01,52.008
1979-07-01,51.9231
1979-08-01,51.5966
1979-09-01,51.5842
1979-10-01,51.9405
1979-11-01,51.8626
1979-12-01,51.9025
1980-01-01,52.1712
1980-02-01,52.1976
1980-03-01,51.9834
1980-04-01,50.9746
1980-05-01,49.7086
1980-06-01,49.0754
1980-07-01,48.7001
1980-08-01,48.8535
1980-09-01,49.6791
1980-10-01,50.3058
1980-11-01,51.1348
1980-12-01,51.4875
1981-01-01,51.1668
1981-02-01,50.9509
1981-03-01,51.2066
1981-04-01,50.9711
1981-05-01,51.2645
1981-06-01,51.5247
